Topic,Question,Problem,Solution
Fertilizers,"What fertilizer should I use for maize?","maize fertilizer","Use NPK 15-15-15 at planting (100g/m²) and side-dress with urea (50g/m²) 4 weeks later."
Fertilizers,"What fertilizer should I use for wheat?","wheat fertilizer","Apply urea (46% N) at sowing (50g/m²) and DAP (18-46-0) at tillering (30g/m²)."
Fertilizers,"When should I apply fertilizer?","apply fertilizer","1. At planting: 1/3 of total dose; 2. Early growth: 1/3 dose (3-4 weeks after planting); 3. Before flowering: Final 1/3 dose."
Fertilizers,"What organic fertilizers are best?","organic fertilizers","1. Compost: 2-5 kg/m² (balanced nutrients); 2. Cow manure: Well-rotted (1-2 kg/m²; high N); 3. Green manure: Plant clover/alfalfa and till in before flowering; 4. Bone meal: For phosphorus (100g/m² at planting)."
Fertilizers,"How to mix organic fertilizer?","mix organic fertilizer","1. Spread 2-3 cm of compost/manure over soil; 2. Till to 15 cm depth before planting; 3. Avoid fresh manure: It burns plants (compost for 6+ months first)."
Fertilizers,"What is the best fertilizer for fruit trees?","fruit tree fertilizer","Use NPK 8-3-9 in early spring (200g/tree) and potassium in autumn (100g/tree)."
Pests,"How do I control aphids on maize?","aphids maize","1. Spray neem oil: 20 ml/liter water, weekly; 2. Introduce predators: Ladybugs or lacewings; 3. Remove infested leaves: Burn or compost far from field; 4. Reflective mulch: Confuses aphids."
Pests,"How do I control cutworms on wheat?","cutworms wheat","1. Bt spray: Bacillus thuringiensis (follow label rates); 2. Handpick: Check plants at dusk; drop worms in soapy water; 3. Barriers: Wrap stems with aluminum foil; 4. Trap crops: Plant early mustard to attract cutworms away."
Pests,"How do I protect crops from locusts?","locusts","1. Pheromone traps: Place around field edges; 2. Biological spray: Metarhizium anisopliae fungus; 3. Early planting: Avoid peak locust seasons (check local alerts); 4. Physical barriers: Fine mesh nets for small plots."
Pests,"How to identify leaf miners?","leaf miners","1. Signs: White tunnels inside leaves; tiny black larvae; 2. Confirmation: Hold leaf to light to see larvae; 3. Common crops: Tomatoes, spinach, beans."
Pests,"How to prevent fungal pests?","fungal pests","1. Spacing: 30-50 cm between plants for airflow; 2. Watering: Drip irrigation (avoid wetting leaves); 3. Rotation: Don't replant same family (e.g., tomatoes) in same spot; 4. Resistant varieties: Choose disease-resistant seeds."
Pests,"How to prevent aphid infestations?","prevent aphids","1. Companion plants: Marigolds, garlic, or chives; 2. Reflective mulch: Silver plastic confuses aphids; 3. Early scouting: Check leaf undersides weekly; 4. Beneficial insects: Release ladybugs (1000/hectare)."
Pests,"How to control caterpillars?","caterpillars","1. Handpick: Remove eggs/larvae daily; 2. Bt spray: Bacillus thuringiensis (organic, safe); 3. Pheromone traps: For moths (e.g., tomato hornworm); 4. Crop rotation: Avoid planting brassicas in same spot."
Diseases,"How do I treat maize leaf blight?","maize leaf blight","1. Remove infected leaves: Burn or compost away from field; 2. Copper fungicide: Spray 20g/10L water weekly; 3. Rotation: Wait 2 years before replanting maize; 4. Resistant varieties: Plant hybrids like 'SC403'."
Diseases,"What causes yellow leaves in crops?","yellow leaves causes","1. Nitrogen deficiency: Pale yellow, older leaves; 2. Overwatering: Yellow + wilting; 3. Iron deficiency: Yellow veins (young leaves); 4. Pests: Stippling or sticky residue (aphids)."
Diseases,"How can I prevent crop diseases?","prevent crop diseases","1. Rotation: 3-year gap between same crop families; 2. Sanitation: Remove plant debris after harvest; 3. Resistant seeds: Use certified disease-free seeds; 4. Soil solarization: Cover wet soil with clear plastic for 4-6 weeks pre-planting."
Diseases,"Why do some fruits rot on the plant?","fruit rot","1. Fungal infection: Spray sulfur (20g/10L) or copper fungicide; 2. Prune: Improve airflow by removing inner branches; 3. Calcium: Add gypsum (100g/m²) if blossom-end rot occurs; 4. Harvest promptly: Pick ripe fruit to avoid spread."
Diseases,"Why do some leaves curl?","leaves curl","1. Upward curl: Herbicide damage or viral infection (remove plants); 2. Downward curl: Overwatering or aphids (check undersides)."
Diseases,"How to control powdery mildew?","powdery mildew","1. Remove infected leaves immediately; 2. Spray sulfur: 20g/10L water weekly (or baking soda: 5g/L); 3. Improve airflow: Space plants 30-50cm apart; 4. Resistant varieties: Choose mildew-resistant seeds."
Diseases,"How to prevent blights?","prevent blights","1. Rotation: 3-year gap for tomatoes/potatoes; 2. Mulch: Use straw to prevent soil splash; 3. Watering: Drip irrigation (never overhead); 4. Copper spray: Apply preventively every 2 weeks."
Soil,"How can I improve poor soil?","poor soil","1. Add organic matter: 5cm compost + 2cm sand annually; 2. Test pH: Adjust with lime (pH <6) or sulfur (pH >7); 3. Mulch: Straw or grass clippings to retain moisture; 4. Cover crops: Plant clover in off-season to fix nitrogen."
Soil,"What is the best soil for maize?","maize soil","1. Texture: Loamy (40% sand, 40% silt, 20% clay); 2. pH: 6.0-7.0 (test with kit); 3. Prep: Till in 5kg compost/m² before planting; 4. Drainage: Raise beds if water pools."
Soil,"How do I test my soil?","test soil","1. Home kit: Follow instructions for pH/N-P-K; 2. Lab test: Send to Lesotho Agricultural Research (LARI); 3. DIY drainage test: Dig 30cm hole; fill with water. If it drains <1cm/hour, improve drainage."
Soil,"How to prevent soil erosion?","prevent erosion","1. Contour plowing: Plow along slope contours; 2. Cover crops: Plant vetch or rye in off-season; 3. Mulch: Straw or wood chips (5cm thick); 4. Windbreaks: Plant trees/shrubs on windward sides."
Soil,"How to improve sandy soil?","sandy soil","1. Compost: Mix in 30% compost by volume; 2. Clay: Add 10% bentonite clay; 3. Mulch: Use straw to retain moisture; 4. Fertilizer: Apply slow-release organic fertilizer (e.g., blood meal)."
Soil,"How to improve clay soil?","clay soil","1. Sand: Mix in 30% coarse sand; 2. Compost: Add 20% compost for structure; 3. Raised beds: Improve drainage; 4. Gypsum: 100g/m² to break up clay."
Irrigation,"How often should I water my crops?","water crops","Water 2-3 times/week (5-10L/m²), adjusting for: Rainfall (skip if >20mm rain in past 24 hours); Soil type (sandy: daily; clay: every 4-5 days); Crop stage (more water during flowering/fruiting)."
Irrigation,"What are efficient irrigation methods?","efficient irrigation","1. Drip irrigation: 30-50% water savings; ideal for rows; 2. Soaker hoses: Good for small gardens; 3. Rainwater harvesting: Collect in barrels for dry spells; 4. Timing: Water early morning (6-9 AM) to reduce evaporation."
Irrigation,"How do I prevent waterlogging?","prevent waterlogging","1. Raise beds: 30cm high for heavy soils; 2. French drains: Gravel-filled trenches to redirect water; 3. Mulch: Straw or wood chips absorb excess moisture; 4. Crop selection: Grow water-tolerant crops (e.g., rice, taro)."
Irrigation,"When should I water fruit trees?","water fruit trees","Water deeply 1-2 times/week (20-40L/tree): Young trees: Daily for first month; Mature trees: Increase to 50L during fruit set; Method: Drip irrigation at root zone."
Irrigation,"How to conserve water?","conserve water","1. Mulch: 5-10cm of straw reduces evaporation by 30%; 2. Drip systems: 90% efficient vs. 60% for sprinklers; 3. Rain barrels: Collect roof runoff for irrigation; 4. Soil prep: Add compost to hold moisture."
Climate,"How does climate change affect farming?","climate change farming","Impacts: Erratic rains, higher temps, new pests, soil degradation. Adaptations: Use drought-tolerant crops (sorghum, millet), plant heat-resistant varieties (e.g., 'Pannar 473' maize), monitor crops weekly, add organic matter annually."
Climate,"How can farmers adapt to climate change?","adapt climate change","1. Crop diversity: Grow 3+ crops to spread risk; 2. Water management: Drip irrigation + rainwater storage; 3. Soil health: Cover crops and compost to retain moisture; 4. Early warning: Use SMS alerts for weather/pests (e.g., mAgri)."
Harvest,"When is maize ready for harvest?","harvest maize","Harvest when: Husks are dry and brown; Kernels are hard (20-25% moisture). Method: Twist cob downward; store at 13% moisture."
Harvest,"How should I store harvested maize?","store maize","1. Dry: Spread in sun for 3-5 days or use a dryer; 2. Clean: Remove debris and damaged kernels; 3. Containers: Use airtight bins with dried neem leaves (natural pest control); 4. Location: Cool, dry place (e.g., raised rack in shed)."
Harvest,"How to reduce post-harvest loss?","reduce post harvest loss","1. Drying: Sun-dry grains to <13% moisture; 2. Storage: Use hermetic bags (e.g., PICS bags) for grains; 3. Pest control: Add dried chili or neem leaves to storage; 4. Handling: Avoid bruising fruits/vegetables."
Harvest,"When is wheat ready for harvest?","harvest wheat","Harvest when: Grains are hard and moisture <14% (usually 4-5 months after planting, May-June in Lesotho). Method: Cut stalks 10cm above ground; thresh after drying."
Harvest,"How to store vegetables?","store vegetables","Leafy greens: 0-4°C, 90% humidity (e.g., fridge crisper); Root crops: Cool, dark place (e.g., buried in sand); Tomatoes: Room temp (never fridge) until ripe."
Livestock,"What should I feed my cows?","feed cows","Feed ratio: 60% grass/hay, 30% maize silage or stover, 10% protein supplement (e.g., soybean meal). Tip: Rotate grazing areas to prevent overgrazing."
Livestock,"How to prevent livestock diseases?","prevent livestock disease","1. Vaccinate: Annual shots for common diseases (e.g., anthrax); 2. Quarantine: Isolate new animals for 2 weeks; 3. Sanitation: Clean shelters weekly with lime; 4. Nutrition: Balanced diet to boost immunity."
Livestock,"How do I manage poultry waste?","manage poultry waste","1. Compost: Mix with carbon (straw/sawdust) 1:1; turn weekly; 2. Biogas: Use in digesters for energy (1kg waste → 50L gas); 3. Fertilizer: Dry and apply to crops (1:10 ratio with soil)."
Livestock,"What feed is best for goats?","feed goats","Feed plan: 60% grass/hay (e.g., napier grass), 30% concentrates (maize, soybean), 10% minerals (salt + phosphorus blocks). Tip: Free-range grazing reduces feed costs."
Livestock,"How to prevent chicken diseases?","prevent chicken disease","1. Vaccinate: Newcastle + IBD at 1, 3, and 6 weeks; 2. Coop hygiene: Clean daily; lime wash monthly; 3. Ventilation: Ensure airflow but no drafts; 4. Quarantine: Separate sick birds immediately."
Market,"How can I sell my farm produce?","sell produce","Selling options: 1. Local markets: Maseru Market (stalls rent for ~M50/day); 2. Cooperatives: Join Lesotho National Farmers’ Union for bulk sales; 3. Direct sales: Supply restaurants/hotels (e.g., Avani Hotel); 4. Online: Use Facebook groups or WhatsApp farmer networks."
Market,"How do I calculate farm profit?","calculate profit","Profit formula: Revenue – (Seeds + Fertilizer + Labor + Transport + Storage) = Profit. Track expenses: Use a notebook or app (e.g., FarmLogs). Example: If you sell M1000 worth of cabbage and spend M400, profit = M600."
Fruits,"What fruits grow well in Maseru?","fruits maseru","Best fruits for Maseru: Apples (plant in winter; needs chilling hours), Pears (similar to apples; less maintenance), Peaches (thrives in warm summers), Strawberries (plant in early spring; use mulch)."
Fruits,"When should I plant tomatoes?","plant tomatoes","Plant after last frost (September-October): Spacing: 50 cm between plants; Support: Use stakes/cages; Soil: Add compost + calcium (crushed eggshells)."
Fruits,"When should I plant strawberries?","plant strawberries","Plant bare-root strawberries in early spring (August) or autumn (March). Spacing: 30 cm apart; Soil: Well-drained, pH 5.5-6.5; Mulch: Straw to retain moisture."
Fruits,"How to prune fruit trees?","prune fruit trees","Pruning steps: 1. When: Late winter (dormant season); 2. Tools: Clean, sharp secateurs; 3. Cuts: Remove dead/diseased branches; thin to 10-15 cm between branches; 4. Shape: Open center for sunlight."
Fruits,"How to increase fruit yield?","increase fruit yield","Yield boosters: 1. Pollination: Plant pollinator-friendly flowers (e.g., marigolds); 2. Thinning: Remove excess fruit (leave 10-15 cm apart); 3. Fertilizer: NPK 10-10-10 at flowering; 4. Water: Drip irrigation; avoid wetting fruit."
Fruits,"Why do fruits drop prematurely?","fruits drop","Causes & fixes: 1. Water stress: Mulch and water consistently; 2. Nutrient deficiency: Apply balanced fertilizer; 3. Pests: Use pheromone traps for fruit flies; 4. Temperature: Protect from late frosts with row covers."
Vegetables,"How to plant spinach?","plant spinach","1. Sow: Seeds 1 cm deep, 10 cm apart; 2. Thin: To 20 cm when 5 cm tall; 3. Soil: Fertile, pH 6.5-7.0; add compost; 4. Harvest: Cut outer leaves in 40-50 days."
Vegetables,"When to plant carrots?","plant carrots","Sow in spring/autumn in loose soil: Plant in early spring (August-September) or late summer; Harvest in 70-80 days (when roots are 2 cm wide)."
Vegetables,"How to prevent bolting in lettuce?","prevent lettuce bolting","Bolting prevention: 1. Shade: Use 30% shade cloth in hot weather; 2. Water: Keep soil consistently moist; 3. Variety: Choose heat-resistant types (e.g., 'Buttercrunch'); 4. Plant time: Sow in cool seasons (spring/autumn)."
Vegetables,"How to improve vegetable yield?","improve vegetable yield","Yield tips: 1. Soil test: Adjust pH (6.0-7.0) and nutrients; 2. Water: Drip irrigation + mulch (straw); 3. Spacing: Follow seed packet guidelines; 4. Fertilizer: NPK 10-5-5 every 3 weeks."
Vegetables,"Why are some vegetable leaves yellow?","vegetable yellow leaves","Fix yellow leaves: 1. Nitrogen: Add blood meal (100g/m²) or compost; 2. Water: Reduce if soggy; increase if dry; 3. Pests: Spray soapy water (10ml/L) for aphids; 4. Disease: Remove infected leaves; rotate crops."
